t,l_0_0,l_0_1,l_0_2,l_1_0,l_1_1,l_1_2,l_2_0,l_2_1,l_2_2,l_3_0,l_3_1,l_3_2,l_4_0,l_4_1,l_4_2,l_dot_0_0,l_dot_0_1,l_dot_0_2,l_dot_1_0,l_dot_1_1,l_dot_1_2,l_dot_2_0,l_dot_2_1,l_dot_2_2,l_dot_3_0,l_dot_3_1,l_dot_3_2,l_dot_4_0,l_dot_4_1,l_dot_4_2
1.300000000000000044e-01,5.449714122573975743e-03,1.107982238876398934e-02,1.192631787118066632e-02,9.389482028665324664e-03,9.478860516442547124e-03,9.613134080054281522e-03,1.007333800718318052e-02,9.225993186036686097e-03,9.183294922217385622e-03,9.883002502686066490e-03,9.323988587576905601e-03,9.275934019601972391e-03,9.612306855463468441e-03,9.443769684550335983e-03,9.426833230063158542e-03,6.019148288061246244e-02,1.187435759417274639e-01,1.301623464736219038e-01,1.108130879202162550e-01,9.842434788451283334e-02,1.002053437720120954e-01,1.163121402553038419e-01,9.685064616158509110e-02,9.628891519138828292e-02,1.106058296433953814e-01,9.970888872331626351e-02,9.914391632579225289e-02,1.052518505738093552e-01,1.021946410353122697e-01,1.020143258861545277e-01
1.400000000000000133e-01,6.030599830581232466e-03,1.225401542122643399e-02,1.321169992396136438e-02,1.047837641042557652e-02,1.044508716947091694e-02,1.060142989974464066e-02,1.124297400119530187e-02,1.016464562120259971e-02,1.011845643867709948e-02,1.100000292935448404e-02,1.029001776027648786e-02,1.023638060488740731e-02,1.065961069561796419e-02,1.044291318089116474e-02,1.042393821755669553e-02,5.613435362380654603e-02,1.156076027165861692e-01,1.264425307291299483e-01,1.066792361244048443e-01,9.456075069146130385e-02,9.718070802047354406e-02,1.170333856776984149e-01,9.077536936844968207e-02,9.060896335070217633e-02,1.121022196544904093e-01,9.343844122075782577e-02,9.287697478444520427e-02,1.037431417178173165e-01,9.745676704034725302e-02,9.722975647957936285e-02
1.499999999999999944e-01,6.559860794388524402e-03,1.340048098104315230e-02,1.446209910577356261e-02,1.152401958097915013e-02,1.137064951805413782e-02,1.155824277824522850e-02,1.242920786196130729e-02,1.103494222714044432e-02,1.098977959686032492e-02,1.214297945093165305e-02,1.118514208890743905e-02,1.112606108533599654e-02,1.169546644817771527e-02,1.139025322674260335e-02,1.136875004077681980e-02,5.002718918540972198e-02,1.133432529011627193e-01,1.233079116574012785e-01,1.022476985056642446e-01,9.047494376781559100e-02,9.408980191700121176e-02,1.196894229719829700e-01,8.337408712291569102e-02,8.372310392135300094e-02,1.159470964454408087e-01,8.568463789432953503e-02,8.514184396098199714e-02,1.031291730534150686e-01,9.197951630562052616e-02,9.169573995779065068e-02
1.600000000000000033e-01,7.025231889098957488e-03,1.452653629754559889e-02,1.568307149307707204e-02,1.252701944326611687e-02,1.225526123427886187e-02,1.248396090961138502e-02,1.364604371108755695e-02,1.182987872513108218e-02,1.179088922434265614e-02,1.332803716524590121e-02,1.200154246398174238e-02,1.193727960583980396e-02,1.272685373978123258e-02,1.228264308519641697e-02,1.225809070125750098e-02,4.291743656700510584e-02,1.122028854008713383e-01,1.211727438865793927e-01,9.842680000082752734e-02,8.664739983383373811e-02,9.127424567394355759e-02,1.240745492745980588e-01,7.565046211838946655e-02,7.656377678151468635e-02,1.216334865325717773e-01,7.756180619644709173e-02,7.706418095382057409e-02,1.035091485000516343e-01,8.657085959714685974e-02,8.623665417589769511e-02
1.700000000000000122e-01,7.421924428143087706e-03,1.564525816104308728e-02,1.688708515545036051e-02,1.349761044687718473e-02,1.310454085175281891e-02,1.338379640501919168e-02,1.491021182508889091e-02,1.255145985566553761e-02,1.252403466036258739e-02,1.457236907714977263e-02,1.274096443468493087e-02,1.267205733504418730e-02,1.376508633948608264e-02,1.312488887335070027e-02,1.309686169933912958e-02,3.647536897240027942e-02,1.118652919350431596e-01,1.199525618739040456e-01,9.597900214666958696e-02,8.342768762339577981e-02,8.889438624923609589e-02,1.290825204598638198e-01,6.885675699655284532e-02,7.025986221016773670e-02,1.275878850301744583e-01,7.049761886771964414e-02,7.006990877530813733e-02,1.044313792869968616e-01,8.208562528923485369e-02,8.172521968581730745e-02
1.799999999999999933e-01,7.763884798343865384e-03,1.676439455022692843e-02,1.808387665814650477e-02,1.445291085638580365e-02,1.392709101347775966e-02,1.426386360862092438e-02,1.622461275894511792e-02,1.321466955071861661e-02,1.320310111405075849e-02,1.587465275294197217e-02,1.341984608296368717e-02,1.334707209220360909e-02,1.481546740097150830e-02,1.393011520581446429e-02,1.389846710787404245e-02,3.224138093108445263e-02,1.119386023316832762e-01,1.194133948525399336e-01,9.523051878337801535e-02,8.118012349652840853e-02,8.718069171399542294e-02,1.336259091030377044e-01,6.403891110004961140e-02,6.578341263867551469e-02,1.326363316268967529e-01,6.555438069311968208e-02,6.520348006304969857e-02,1.056050093210668672e-01,7.913496712035684999e-02,7.877136116435216884e-02
1.900000000000000022e-01,8.075511456275311431e-03,1.788375564827818925e-02,1.927594292678807761e-02,1.540629403647117250e-02,1.473114149700980278e-02,1.512948915528622082e-02,1.757868984239273000e-02,1.383908686471559298e-02,1.384607526429734725e-02,1.721995619935228622e-02,1.405924735158904475e-02,1.398326295780555860e-02,1.587682434461942793e-02,1.471235419928054212e-02,1.467708411572357825e-02,3.032077915707294055e-02,1.119847486087805349e-01,1.190795580709309159e-01,9.563094448626262289e-02,7.973996590734684642e-02,8.601946002805750668e-02,1.371320289857944352e-01,6.106887915541429207e-02,6.301659664074682476e-02,1.363153535712215425e-01,6.256752694784498137e-02,6.227553898690180167e-02,1.066907911113319091e-01,7.748525500610843608e-02,7.712626884889488277e-02
2.000000000000000111e-01,8.377968518957321087e-03,1.900178292786351003e-02,2.046375269022030277e-02,1.636671236179898861e-02,1.552338708712982726e-02,1.598517075667823389e-02,1.896114946381045191e-02,1.444114946475492760e-02,1.446810280410520955e-02,1.859387571641596751e-02,1.467666610172655567e-02,1.459788898904178581e-02,1.694699909432589510e-02,1.548280924805611573e-02,1.544395244937103381e-02,3.048077002777254546e-02,1.116580830687725484e-01,1.185546453326701416e-01,9.664573830843566082e-02,7.884353146744396690e-02,8.521288140977999193e-02,1.392559722655508370e-01,5.961725390981406636e-02,6.164423261911421842e-02,1.383195575327942906e-01,6.120357883212803468e-02,6.093713577240988943e-02,1.073643989910352259e-01,7.680707447568756174e-02,7.645097283645919950e-02
2.099999999999999922e-01,8.689813728401218906e-03,2.011492169129361351e-02,2.164536353454995024e-02,1.733925635414580030e-02,1.630861259689559556e-02,1.683402518828368971e-02,2.035905819754613849e-02,1.503447542732930589e-02,1.508167520503904922e-02,1.998080368580126137e-02,1.528668700715925602e-02,1.520522197779719184e-02,1.802192962888107819e-02,1.625009684868909676e-02,1.620766716643054495e-02,3.234891457721003616e-02,1.108211842391183671e-01,1.176537354186405621e-01,9.790828749724382607e-02,7.829212311843281036e-02,8.461831770677571973e-02,1.399466342226109716e-01,5.934774325359214175e-02,6.134932424892750036e-02,1.386440376753072801e-01,6.111583721791877255e-02,6.083668839160490116e-02,1.074842779984540586e-01,7.682003314104662861e-02,7.646015668144268140e-02
2.200000000000000011e-01,9.026979866945505915e-03,2.121763634778124283e-02,2.281643665233839061e-02,1.832516376362813143e-02,1.708969430493475009e-02,1.767778969637296207e-02,2.175786809676783992e-02,1.562985617899216584e-02,1.569662314023194394e-02,2.136395457112969312e-02,1.590097407600020094e-02,1.581653956424675794e-02,1.909566309684443755e-02,1.702024575367757503e-02,1.697417804780184877e-02,3.541428982956100480e-02,1.095441929596228797e-01,1.164027314697284182e-01,9.921956159744872716e-02,7.795212427280383272e-02,8.414838178292710635e-02,1.394455467557197959e-01,5.991766785296616382e-02,6.181356757705991356e-02,1.375832963992749680e-01,6.194484078076524514e-02,6.162043550721441054e-02,1.070911866486659175e-01,7.729291214332477400e-02,7.692230452334154756e-02
