t,p_0_x,p_0_y,p_0_z,p_1_x,p_1_y,p_1_z,p_2_x,p_2_y,p_2_z,p_3_x,p_3_y,p_3_z,p_4_x,p_4_y,p_4_z,pd_4_x,pd_4_y,pd_4_z,error_of_sec_4
1.000000000000000056e-01,1.362417611363619073e-02,1.393956579352450143e-03,1.397910815984187705e-01,4.851376094819098705e-02,5.231046739889305686e-03,2.921115275682777401e-01,8.456536783822790615e-02,9.505538853919370118e-03,4.441556927217163997e-01,1.175550148230707498e-01,1.363811677832993743e-02,5.968974926530834502e-01,1.483472224180298338e-01,1.761646124096010596e-02,7.501036789124948534e-01,1.977542155872084595e-01,2.988762649471984889e-02,7.500000000000000000e-01,5.090818421453705694e-02
1.100000000000000006e-01,1.603936217510593815e-02,1.688267919770666337e-03,1.404056493429700347e-01,5.645374177004278821e-02,6.346510551693365122e-03,2.924309062657579061e-01,9.711311461345324691e-02,1.147898481077883406e-02,4.443792854770768352e-01,1.337684444089341507e-01,1.640973289582944861e-02,5.973511529499694328e-01,1.678441507858856596e-01,2.115144600681367892e-02,7.509273948870790472e-01,1.972836710692695561e-01,3.285046619809619400e-02,7.500000000000000000e-01,3.169246738940324770e-02
1.199999999999999956e-01,1.839438224388456611e-02,1.984063078244403030e-03,1.409798416332075643e-01,6.410406619035448339e-02,7.493354916214418383e-03,2.925815881733362378e-01,1.090566137107306932e-01,1.353325215179590653e-02,4.443901393006753908e-01,1.490667367961919509e-01,1.931983426805769163e-02,5.975891749069042191e-01,1.861449850816238594e-01,2.488708160651751169e-02,7.515365109722406123e-01,1.967687385576243064e-01,3.580591468516483578e-02,7.500000000000000000e-01,1.531162694445010325e-02
1.300000000000000044e-01,2.070465925765140741e-02,2.267609632126884114e-03,1.414961951025492382e-01,7.155680653670959401e-02,8.635618351366841292e-03,2.925211916415774716e-01,1.205511893631119880e-01,1.562839579908817389e-02,4.441284543966214082e-01,1.634591995589941837e-01,2.232886364750889807e-02,5.975895865084719372e-01,2.029191807911911727e-01,2.878117710306502333e-02,7.519900141725323062e-01,1.962095339099154678e-01,3.875330699248438759e-02,7.500000000000000000e-01,1.218289342519843568e-02
1.400000000000000133e-01,2.303245583705278154e-02,2.522945491007493740e-03,1.419323442303729865e-01,7.904598402265988755e-02,9.733047142560811993e-03,2.921632779328738883e-01,1.319398571227196337e-01,1.771926839352106972e-02,4.434724713426638765e-01,1.771154696932933370e-01,2.539353661912251148e-02,5.972902766073773240e-01,2.179105012151184850e-01,3.279066822400410891e-02,7.523508095240715177e-01,1.956061829448296763e-01,4.169197996921991667e-02,7.500000000000000000e-01,2.412969684240399634e-02
1.499999999999999944e-01,2.543912310744480057e-02,2.735002986697555524e-03,1.422667233947843557e-01,8.678488265260607404e-02,1.074933329664124609e-02,2.914117507582499877e-01,1.435259025332452643e-01,1.976405399687950273e-02,4.422914344484973892e-01,1.901965386934226787e-01,2.847146594717621729e-02,5.966195021792590758e-01,2.309271225475941769e-01,3.686985898652510307e-02,7.526551641713469243e-01,1.949588214137886744e-01,4.462127242634908453e-02,7.500000000000000000e-01,3.688974103384303621e-02
1.600000000000000033e-01,2.798499198189749806e-02,2.889120521122966623e-03,1.424783472835844667e-01,9.496463919307007728e-02,1.165157676478242345e-02,2.901622370146716423e-01,1.555714892868079458e-01,2.172408926947162061e-02,4.404495719267571552e-01,2.028525363163445339e-01,3.151977917347301844e-02,5.954906931684725846e-01,2.418354654683584903e-01,4.096505860271355826e-02,7.528778503601246674e-01,1.942675949704059379e-01,4.754052528542691836e-02,7.500000000000000000e-01,4.810635185192001229e-02
1.700000000000000122e-01,3.072698570162001735e-02,2.970615382231857077e-03,1.425467989879967146e-01,1.037447663459491881e-01,1.241009472775278684e-02,2.883050943006830735e-01,1.682841452166842222e-01,2.356426848611890834e-02,4.378128622702431860e-01,2.152099226714705715e-01,3.449407603595056743e-02,5.938010759543879136e-01,2.505521589424223317e-01,4.500842440832352603e-02,7.529037903106530205e-01,1.935326591377151129e-01,5.044908172687561504e-02,7.500000000000000000e-01,5.735203665263478162e-02
1.799999999999999933e-01,3.364505742381292130e-02,2.975287717312382306e-03,1.424719453638629840e-01,1.130094990085811907e-01,1.302126734670139979e-02,2.858352756835410569e-01,1.814606222535853353e-01,2.527702779177658926e-02,4.344123514360432869e-01,2.270792076388256087e-01,3.736740849272905673e-02,5.915708917198861938e-01,2.569834457481270373e-01,4.893104629207677136e-02,7.526071411788642918e-01,1.927541792731781167e-01,5.334628733776623083e-02,7.500000000000000000e-01,6.443361087606426507e-02
1.900000000000000022e-01,3.665815862015691512e-02,2.907334293642047443e-03,1.422741887651087500e-01,1.224559527250322633e-01,1.349869635731721848e-02,2.828527562725778877e-01,1.946525049171841104e-01,2.687365006022597938e-02,4.304228094791650028e-01,2.381099846049752333e-01,4.012703531018215614e-02,5.889251044514274280e-01,2.610870923202051053e-01,5.266822693301818209e-02,7.518944499447388630e-01,1.919323305314802330e-01,5.623149025905881809e-02,7.500000000000000000e-01,6.927241055556757066e-02
