t,p_0_x,p_0_y,p_0_z,p_1_x,p_1_y,p_1_z,p_2_x,p_2_y,p_2_z,p_3_x,p_3_y,p_3_z,p_4_x,p_4_y,p_4_z,pd_4_x,pd_4_y,pd_4_z,error_of_sec_4
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.484999999999999931e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.984999999999999876e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.485000000000000098e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.985000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.485000000000000542e-01,2.000000000000000111e-01,0.000000000000000000e+00,7.500000000000000000e-01,2.000056249209006820e-01
1.000000000000000021e-02,5.647851458173931477e-04,9.360324608934384374e-06,1.485356327133773024e-01,2.148378199314637110e-03,3.563237629163646823e-05,2.985644983538543462e-01,4.484258493117865632e-03,7.441635497550931437e-05,4.485836435398313782e-01,7.316538434187267771e-03,1.214678652314860752e-04,5.985943051571133156e-01,1.039645396874630708e-02,1.726471912441065180e-04,7.486001192489668554e-01,1.999775004218718455e-01,2.999887501265618116e-03,7.500000000000000000e-01,1.896072945014243560e-01
2.000000000000000042e-02,2.273975626594260981e-03,4.879334456060698032e-05,1.486523246807548437e-01,8.501564927076576614e-03,1.837370583566621195e-04,2.986974952233076852e-01,1.742035445361293095e-02,3.782339639055920175e-04,4.486083930889384064e-01,2.800647128334957103e-02,6.100911921790590133e-04,5.984115935809179998e-01,3.939165353492540128e-02,8.600025372507324106e-04,7.481565160779717338e-01,1.999100067497975308e-01,5.999100040499132092e-03,7.500000000000000000e-01,1.606111779264852990e-01
2.999999999999999889e-02,5.432009103259818027e-03,1.394057844841244955e-04,1.488440388495199107e-01,1.958654200318873939e-02,5.174244841311878822e-04,2.986467364289275839e-01,3.856404974018660947e-02,1.034710598113369913e-03,4.479227959279387106e-01,5.999398896072426213e-02,1.627452441765583901e-03,5.968687510266795782e-01,8.243523568056125572e-02,2.253103897161238319e-03,7.456661938220141561e-01,1.997975341695684970e-01,8.996962807532047149e-03,7.500000000000000000e-01,1.176357539849775813e-01
4.000000000000000083e-02,1.054321607989914915e-02,2.983352450685483495e-04,1.489853506558012075e-01,3.627975228189700418e-02,1.116357019061119549e-03,2.977462688276828473e-01,6.772446116723801479e-02,2.158297857893499289e-03,4.454249664185990776e-01,1.006769700526937289e-01,3.286301792305586309e-03,5.927759779774298687e-01,1.337672497844910324e-01,4.440661899410090069e-03,7.400959263992605841e-01,1.996401079870408490e-01,1.199280129588892012e-02,7.500000000000000000e-01,6.703998009491012045e-02
5.000000000000000278e-02,1.753862942566839639e-02,4.988818864434915908e-04,1.488290872172414459e-01,5.763139358796715711e-02,1.997340153883329916e-03,2.951311874327062768e-01,1.021913615077947451e-01,3.771451098458016796e-03,4.401587189577664816e-01,1.454932017726784654e-01,5.585654551767040704e-03,5.855649120272538033e-01,1.871645409113623648e-01,7.385157309183461652e-03,7.314481152329789237e-01,1.994377636224415051e-01,1.498594145454847093e-02,7.500000000000000000e-01,2.350694245853784947e-02
5.999999999999999778e-02,2.535639723708031992e-02,6.563660888267814578e-04,1.482323782316526950e-01,7.998592849957279760e-02,3.056107455005408098e-03,2.907391309346069042e-01,1.360931737534805119e-01,5.738112051474128852e-03,4.326776785151993376e-01,1.879141941596603194e-01,8.371950512129720107e-03,5.762370521406658952e-01,2.366879061951913110e-01,1.093296259516800956e-02,7.208668733591543365e-01,1.991905466023988769e-01,1.797570983960221011e-02,7.500000000000000000e-01,4.800407621287716697e-02
7.000000000000000666e-02,3.240522062009683346e-02,7.238099269922746706e-04,1.473951863771464366e-01,9.883947491684300091e-02,4.154629875152451336e-03,2.859209277680643813e-01,1.632927344209417209e-01,7.860489482456801957e-03,4.253605253946670661e-01,2.219088103689986491e-01,1.144004309349120306e-02,5.673663384617187999e-01,2.775129125892794590e-01,1.491074619566225105e-02,7.105876197244048731e-01,1.988985125496994799e-01,2.096143376577649931e-02,7.500000000000000000e-01,8.814857022460641234e-02
8.000000000000000167e-02,3.781205305177342407e-02,7.597129235039504561e-04,1.466425049445668205e-01,1.122719965629171285e-01,5.263242138331121305e-03,2.821261769404195818e-01,1.815561247386550392e-01,1.005834283883378505e-02,4.202973427207177259e-01,2.448972918778412056e-01,1.469325947131938821e-02,5.613206683312147449e-01,3.063728706994092721e-01,1.922060633386450321e-02,7.031742148131189252e-01,1.985617271707732501e-01,2.394244145778387511e-02,7.500000000000000000e-01,1.176358472331353877e-01
8.999999999999999667e-02,4.150521977597345508e-02,8.446846796019017237e-04,1.461480230334421815e-01,1.205909117037326228e-01,6.406835797097422402e-03,2.799229760558801239e-01,1.915262813673326014e-01,1.232646075027789105e-02,4.181688611629630348e-01,2.568071824798881519e-01,1.810055615065069359e-02,5.592124848614025145e-01,3.215356988501090196e-01,2.379621439182252884e-02,7.005142564855855181e-01,1.981802662409095916e-01,2.691806220146966341e-02,7.500000000000000000e-01,1.329479127294737051e-01
1.000000000000000056e-01,4.373551344113727618e-02,1.011523075002027008e-03,1.459353353898593386e-01,1.247345609990800908e-01,7.573686573342995956e-03,2.792584299152555127e-01,1.945042982365895456e-01,1.462537282771567831e-02,4.187811174830002869e-01,2.584336374550234572e-01,2.159485502705090626e-02,5.611226858947679919e-01,3.226889789639140194e-01,2.853768479301331193e-02,7.033179630610311150e-01,1.977542155872084595e-01,2.988762649471984889e-02,7.500000000000000000e-01,1.333781466933870175e-01
1.100000000000000006e-01,4.485736548263138251e-02,1.239677800723836855e-03,1.459455581363504340e-01,1.257150209262991036e-01,8.701639684380983036e-03,2.798024972064861449e-01,1.918276375251816712e-01,1.685510696727304802e-02,4.215378123140809397e-01,2.509922334079602857e-01,2.504196031822945173e-02,5.663707322472536498e-01,3.107145194269571031e-01,3.328222222443871781e-02,7.109704103510162687e-01,1.972836710692695561e-01,3.285046619809619400e-02,7.500000000000000000e-01,1.199585455087675279e-01
1.199999999999999956e-01,4.511684951821610251e-02,1.515371070862936778e-03,1.461462861280201364e-01,1.242020915857111329e-01,9.764401091117910769e-03,2.812991971132111635e-01,1.845484886616375886e-01,1.894455283771386347e-02,4.258285840488941210e-01,2.359699778281299787e-01,2.830608685423259899e-02,5.738455554550148108e-01,2.875883846702662616e-01,3.782391949335187770e-02,7.217832337722633884e-01,1.967687385576243064e-01,3.580591468516483578e-02,7.500000000000000000e-01,9.512342697665031321e-02
1.300000000000000044e-01,4.457343615043925233e-02,1.858762353787700005e-03,1.465668714628741709e-01,1.203952813359964458e-01,1.080234752586227767e-02,2.836735568345131187e-01,1.733359308372611207e-01,2.089388753067621118e-02,4.311890742049104830e-01,2.150459146554664358e-01,3.130217958248263099e-02,5.823633146435943653e-01,2.563036484832221795e-01,4.196821162951304418e-02,7.336442186376160857e-01,1.962095339099154678e-01,3.875330699248438759e-02,7.500000000000000000e-01,6.236304837120301703e-02
1.400000000000000133e-01,4.325264215024538644e-02,2.281850899333625997e-03,1.472180376401695245e-01,1.144635287732198026e-01,1.185161706850024546e-02,2.867784336982009963e-01,1.589931810240988452e-01,2.271559516631387748e-02,4.370818939805651837e-01,1.903085773224615640e-01,3.398358983711995129e-02,5.908032805694900524e-01,2.205958113221130057e-01,4.558523620259354037e-02,7.447079501041504734e-01,1.956061829448296763e-01,4.169197996921991667e-02,7.500000000000000000e-01,2.583882277956153078e-02
1.499999999999999944e-01,4.128746255508398966e-02,2.757368139550811503e-03,1.480361941777697532e-01,1.069117963764321388e-01,1.289283588207471194e-02,2.902550518359154896e-01,1.428280937626550395e-01,2.438801501062393476e-02,4.428374198784016391e-01,1.643180246971058800e-01,3.632299400860022898e-02,5.982451364925426285e-01,1.845273046899892910e-01,4.863494182133679816e-02,7.537982194136217950e-01,1.949588214137886744e-01,4.462127242634908453e-02,7.500000000000000000e-01,1.180476826901658179e-02
1.600000000000000033e-01,3.898420449668835858e-02,3.222363890439402124e-03,1.488824424841393712e-01,9.874204483607303129e-02,1.385147325164051181e-02,2.935751397092106751e-01,1.267481378285153781e-01,2.585401208499345585e-02,4.477657827817986824e-01,1.399470016930237648e-01,3.830548788050095604e-02,6.040632754613902700e-01,1.519607918664852841e-01,5.115549054182368799e-02,7.604267889203022435e-01,1.942675949704059379e-01,4.754052528542691836e-02,7.500000000000000000e-01,4.372243691592914844e-02
1.700000000000000122e-01,3.673036050574361028e-02,3.616814371226973520e-03,1.496097692104848553e-01,9.117161270054982558e-02,1.465258278305924845e-02,2.962731850521445054e-01,1.127966361376945420e-01,2.707111092407131839e-02,4.514157987185003496e-01,1.198504059786891784e-01,3.995375825412039034e-02,6.080360794706840544e-01,1.260372006488828522e-01,5.325193285728939407e-02,7.646599820069310827e-01,1.935326591377151129e-01,5.044908172687561504e-02,7.500000000000000000e-01,6.912602956571774204e-02
1.799999999999999933e-01,3.490942402338471917e-02,3.901584981950039985e-03,1.501048585445662331e-01,8.537029626069998767e-02,1.524705567963851108e-02,2.980536951070635876e-01,1.027731697459592919e-01,2.802858470815093941e-02,4.536162336586024857e-01,1.061247287896717462e-01,4.132582704560044951e-02,6.102375660932956025e-01,1.089694561551016738e-01,5.506862334915961499e-02,7.668311580916928882e-01,1.927541792731781167e-01,5.334628733776623083e-02,7.500000000000000000e-01,8.547592732469437571e-02
1.900000000000000022e-01,3.376519764045059907e-02,4.067981399020334163e-03,1.503214661383227568e-01,8.205755790065807909e-02,1.563027917255415886e-02,2.988438054858351123e-01,9.769716659982452533e-02,2.875809901893212894e-02,4.544405086393400461e-01,9.984400982570565408e-02,4.250988499553272348e-02,6.109114562599846643e-01,1.017646952075987321e-01,5.676287327850964431e-02,7.673405072965163720e-01,1.919323305314802330e-01,5.623149025905881809e-02,7.500000000000000000e-01,9.182144641157849452e-02
2.000000000000000111e-01,3.335896481984529371e-02,4.127578491054943906e-03,1.502695904695658391e-01,8.138387207809981427e-02,1.582985958490052900e-02,2.987146060817224558e-01,9.769771404306315521e-02,2.931642259751713470e-02,4.540477953999838556e-01,1.010369130880452160e-01,4.360270276843075665e-02,6.102780732684331966e-01,1.043249449044460764e-01,5.847890978290153086e-02,7.664540423663270818e-01,1.910672978251212184e-01,5.910404133226792450e-02,7.500000000000000000e-01,8.829134776331064305e-02
2.099999999999999922e-01,3.354093114011784393e-02,4.114272891587919360e-03,1.500122600546486828e-01,8.285850879663816948e-02,1.591508874552303304e-02,2.978574029395748557e-01,1.019470167962083507e-01,2.979452340028275470e-02,4.526478444535073642e-01,1.086653449215967404e-01,4.470858727001961186e-02,6.085093259640032004e-01,1.154866163017330971e-01,6.032980981061281112e-02,7.642964838877406297e-01,1.901592757828106661e-01,6.196329424552057819e-02,7.500000000000000000e-01,7.604645814847972585e-02
2.200000000000000011e-01,3.400600182365556140e-02,4.083122363379409689e-03,1.496521388237030681e-01,8.551910759869120471e-02,1.599712099081344180e-02,2.965654871896181710e-01,1.089039081639232437e-01,3.032067030989823650e-02,4.505217421487150986e-01,1.208778920919792860e-01,4.594087313698830971e-02,6.057813362197258522e-01,1.332500242187359407e-01,6.239412750049482675e-02,7.609226492588146984e-01,1.892084687056774239e-01,6.480860567897367419e-02,7.500000000000000000e-01,5.706558929077616693e-02
2.300000000000000100e-01,3.439797719156707095e-02,4.108269790562727591e-03,1.493100934072777441e-01,8.823954534771062674e-02,1.622874559695217447e-02,2.952039903697770695e-01,1.167380721141335204e-01,3.106542364827618447e-02,4.480505103679853773e-01,1.354190030522752219e-01,4.742644599973961511e-02,6.023519739914496851e-01,1.550999726148373503e-01,6.471605811326489044e-02,7.564261161870794448e-01,1.882150905213026137e-01,6.763933544955826049e-02,7.500000000000000000e-01,3.385929050635626270e-02
