t,l_0_0,l_0_1,l_0_2,l_1_0,l_1_1,l_1_2,l_2_0,l_2_1,l_2_2,l_3_0,l_3_1,l_3_2,l_4_0,l_4_1,l_4_2,l_dot_0_0,l_dot_0_1,l_dot_0_2,l_dot_1_0,l_dot_1_1,l_dot_1_2,l_dot_2_0,l_dot_2_1,l_dot_2_2,l_dot_3_0,l_dot_3_1,l_dot_3_2,l_dot_4_0,l_dot_4_1,l_dot_4_2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-5.857942243530191769e-05,8.406963794777989993e-05,8.682729499262313003e-05,-3.586231417281604154e-05,7.303681074391697140e-05,7.514676262831960054e-05,-1.418297782064367643e-05,6.250913450852993208e-05,6.399761876002111629e-05,6.760154477154681790e-06,5.233975137228822169e-05,5.322541174042598065e-05,2.726352888994651360e-05,4.238426824887639883e-05,4.267825196092783687e-05,-1.110246130046099039e-02,1.716987639961116072e-02,1.780115332972211084e-02,-6.270531885907556710e-03,1.483284740980927476e-02,1.530789680335494125e-02,-1.887737526974031261e-03,1.271408101382994621e-02,1.304491076582758174e-02,2.176872082366563491e-03,1.074993603174631551e-02,1.094505171838757243e-02,6.051601054051163921e-03,8.878029470650273050e-03,8.942505774171362332e-03
2.000000000000000042e-02,-2.089669000142097162e-04,3.632077240096099084e-04,3.776525902552923652e-04,-9.257113836310084851e-05,3.071495667425405349e-04,3.174198805129115975e-04,5.448206498271023705e-07,2.623370344864946256e-04,2.691665769157903045e-04,7.756228522582173492e-05,2.253046798143305439e-04,2.292028041421353317e-04,1.451318588354998996e-04,1.928394196760165556e-04,1.941058235272342795e-04,-1.871723458895840908e-02,4.017633161142903503e-02,4.199715304332563015e-02,-2.825702695283052734e-03,3.256763596991706089e-02,3.374269054544541679e-02,7.660534165670878151e-03,2.756076702878941520e-02,2.827489255249291192e-02,1.447752173054557383e-02,2.432145815597463318e-02,2.470098771965192896e-02,1.916909433566422322e-02,2.210662202321300382e-02,2.222508739633594077e-02
2.999999999999999889e-02,-4.401066342311364720e-04,9.205745915332158146e-04,9.627300426067642199e-04,-4.194906416478440123e-05,7.303875855132638348e-04,7.557950432520352778e-04,2.037226560869254415e-04,6.132017600126278773e-04,6.276473865442816664e-04,3.511982809472658797e-04,5.430970540489624436e-04,5.503539407494925824e-04,4.439496670473930305e-04,4.992557824736723257e-04,5.014466338337337722e-04,-2.843884376787669463e-02,7.275281306211726917e-02,7.665025852091841840e-02,1.547646756250559662e-02,5.193730647370303766e-02,5.375195152814186278e-02,3.617261914846373050e-02,4.216955855365596417e-02,4.287695193950531031e-02,4.280691546270093406e-02,3.910612929743539912e-02,3.931265541001276176e-02,4.198252903194839986e-02,3.960307290113673773e-02,3.963732936318340588e-02
4.000000000000000083e-02,-7.913954527412341185e-04,1.836596350151603911e-03,1.932802518481625213e-03,2.652153359355009484e-04,1.336543731917272815e-03,1.381727264726663462e-03,7.723271683606926360e-04,1.096921334847738563e-03,1.115442674312660740e-03,9.659471328402741402e-04,1.006338392660476467e-03,1.012529306946004497e-03,1.001256853007848014e-03,9.911065637367047314e-04,9.924059664310257243e-04,-4.154678816554666088e-02,1.104797667040252757e-01,1.175663803069203206e-01,4.805602615343447515e-02,6.858545468916320276e-02,7.063070266455372115e-02,7.850438762096710599e-02,5.444666687846776848e-02,5.444001158509921556e-02,8.016184154349689783e-02,5.385912499131331743e-02,5.337179153520280050e-02,6.947474214215887400e-02,5.907262021403297814e-02,5.883951063945088572e-02
5.000000000000000278e-02,-1.239991514450638089e-03,3.110239461347134859e-03,3.296321661647575764e-03,9.502440037747572447e-04,2.085254252101812877e-03,2.149407271950184474e-03,1.758047260777349146e-03,1.708178247286265116e-03,1.721240825630381520e-03,1.920104989033758706e-03,1.635021912972240300e-03,1.632462940278013325e-03,1.816120595416895970e-03,1.686857950871368129e-03,1.684526509651118609e-03,-4.572455822885401755e-02,1.423570061090399796e-01,1.532851873941963039e-01,8.972840396420288245e-02,8.021687874163417609e-02,8.185727948521287489e-02,1.164474006367413883e-01,6.829435683960674575e-02,6.719894094431880238e-02,1.077779841384723936e-01,7.268824115959560128e-02,7.147571277182206140e-02,9.200535710075678775e-02,8.020030416117535088e-02,7.973560393155953996e-02
5.999999999999999778e-02,-1.639408033153494891e-03,4.621366957321413997e-03,4.934347133230847747e-03,2.046319804134241836e-03,2.918775864321854728e-03,2.995178570189313549e-03,3.022374604538382876e-03,2.471758371590443426e-03,2.469884426893931111e-03,3.037953346730566922e-03,2.470966598710657228e-03,2.455354702593349689e-03,2.795653296205632878e-03,2.587712785338014930e-03,2.580819541682020241e-03,-3.059828631208946770e-02,1.556715285473170285e-01,1.698848068676272471e-01,1.270224220380116453e-01,8.517960304281485540e-02,8.596465056021514173e-02,1.312039182246756697e-01,8.439418748898393219e-02,8.266493338896944987e-02,1.110086942992687398e-01,9.425267251763054521e-02,9.303312723607583268e-02,1.010485268272871551e-01,9.880829540803526267e-02,9.843341100340079197e-02
7.000000000000000666e-02,-1.817204390279688339e-03,6.147524706339307921e-03,6.612133061269820020e-03,3.420652014940517727e-03,3.761042920699707477e-03,3.841687721248384681e-03,4.302947462584846838e-03,3.371678122559000190e-03,3.353346509504101340e-03,4.082353043072298703e-03,3.485380150446199931e-03,3.461015593937145571e-03,3.792631055696537093e-03,3.622411072048887550e-03,3.613500025013554988e-03,-4.524423275426354973e-03,1.463016418386074158e-01,1.621167379155892263e-01,1.439987471124091756e-01,8.190756765604086109e-02,8.205482920094754606e-02,1.220815308378591230e-01,9.369706491243608160e-02,9.226431193948851639e-02,9.627730016915883593e-02,1.061484335358173214e-01,1.056874230513149548e-01,9.661060766368978481e-02,1.057469735616292789e-01,1.057365317149881606e-01
8.000000000000000167e-02,-1.747290054203188463e-03,7.498969663093948967e-03,8.122969127457836669e-03,4.853692642947951552e-03,4.530988093816619953e-03,4.612634470304720520e-03,5.434894150084882032e-03,4.298478500395273502e-03,4.269470383159374056e-03,4.956913730751566320e-03,4.536182339650819337e-03,4.511322613583196306e-03,4.704130376806769757e-03,4.653600109945529167e-03,4.646253851546012018e-03,1.678505910629472797e-02,1.223415672585875663e-01,1.381645590900927867e-01,1.395505456698833968e-01,7.084550914308665459e-02,7.103747871615025133e-02,1.038826381231724300e-01,8.916072194030569276e-02,8.849742597440517222e-02,7.894892466379013762e-02,1.011785266447378234e-01,1.014983277014463586e-01,8.482090919624452052e-02,9.824239916001961670e-02,9.853811580460307418e-02
8.999999999999999667e-02,-1.517158140996240946e-03,8.574703443599729358e-03,9.351601024275308510e-03,6.167314154212801512e-03,5.158138538583978243e-03,5.245138075193799855e-03,6.382033626704418025e-03,5.113185147818364445e-03,5.082046953868882104e-03,5.670219331422174207e-03,5.464153903866409909e-03,5.445303974506160959e-03,5.476706849928684312e-03,5.552911895575623862e-03,5.549401686823876231e-03,2.757573490129368657e-02,9.240090313103692388e-02,1.069784687690928382e-01,1.217667321030891786e-01,5.386631997127078186e-02,5.484733644762278260e-02,8.593259767582167585e-02,7.220598772981598468e-02,7.245843241429800186e-02,6.417474086542737655e-02,8.282704935614615405e-02,8.367553233396811396e-02,6.930377208126164978e-02,8.045077820544685454e-02,8.090373113477336564e-02
